Repository,Views,Uniques,Clones,Contributors,Forks,Stars,Watchers
cloud-formulas,0,0,2,2,0,0,0
developers-tips-and-tricks-resources,126,14,7,1,5,29,5
formulas-4-tests,0,0,8,2,0,0,1
formulas-aws,20,4,9,2,1,2,1
formulas-github,171,56,9,3,3,13,2
formulas-insights,32,6,10,1,0,1,1
formulas-office-hours,0,0,2,1,0,0,1
formulas-python,270,16,33,2,4,11,2
formulas-training,36,1,0,1,0,0,1
GuillaumeFalourd,149,31,185,2,9,0,1
java-backend-trail,0,0,0,1,0,1,1
jobs-by-city-linkedin-reports,150,3,21,1,0,0,1
mapas-mentais,0,0,2,2,0,0,0
my-contents,0,0,0,1,0,0,1
noticias,0,0,1,1,0,0,0
poc-bank-api-java,8,2,3,1,0,2,1
poc-bank-api-kotlin,5,1,3,1,0,0,1
poc-chalice-python,15,10,3,1,0,1,1
poc-composite-run-steps-action,4,2,3,1,0,0,1
poc-django-python,2,1,1,1,0,0,1
poc-github-actions,247,12,99,2,0,0,1
poc-grpc-python,0,0,5,1,0,0,1
poc-kafka-python,0,0,2,1,0,0,1
poc-rest-api-python,1,1,2,1,0,0,1
repositories-reports,210,22,15,1,1,0,1
ritchie-action-go-15,41,2,9,1,0,0,1
ritchie-action-java-8,37,4,9,1,1,1,1
ritchie-action-node,48,1,7,1,0,0,1
ritchie-action-python,43,3,7,1,0,0,1
ritchie-action-shell,60,2,8,1,0,0,1
ritchie-aws-create-cluster,67,2,21,1,0,0,1
ritchie-cli,0,0,0,30,0,0,0
ritchie-docker-images,1,1,2,1,0,0,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,2,0,0,0
ritchie-formulas-scheduler-demo,247,14,21,1,0,4,2
ritchie-tdc-poa,0,0,0,1,0,0,1
ritchie-tdc-recife,0,0,0,1,0,0,1
ritchie-templates,0,0,0,2,0,0,1
stackoverflow-automation,372,88,10,1,0,0,1
useful-actions,117,8,291,2,0,0,1
vagas,0,0,2,2,0,0,0
