Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
ritchie-cli-action,1,1,1,1,1,2,1
ritchie-demo-create-cluster,0,0,0,1,0,0,1
ritchie-docker-images,11,6,0,1,0,1,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,11,0,0,0
ritchie-formulas-scheduler-demo,55,40,0,1,3,5,2
ritchie-tdc-poa,0,0,0,1,1,1,1
ritchie-tdc-recife,0,0,0,1,0,1,1
ritchie-templates,0,0,0,1,0,1,0
ritchie-templates-perso,6,1,0,2,0,0,1
setup-rsync,11,4,2,1,0,2,1
setup-windows10-sdk-action,30,10,15,4,6,14,1
sign-and-notarize-gha,8,7,1,1,0,1,1
so-automation,0,0,0,1,0,0,1
splain,2,2,1,14,0,0,0
SSH-to-HTTPS,5,3,1,1,2,1,1
stk-quickstart-golang,0,0,0,1,0,0,1
test,0,0,1,2,0,0,0
useful-actions,84,57,518,4,7,152,1
vagas,0,0,0,2,0,0,0
wait-on-check-action,0,0,0,10,0,0,0
wait-sleep-action,13,3,1,1,0,0,1
webhooks-python,0,0,1,1,0,0,1
xcode-notarize,0,0,1,2,0,0,0
actions-download-file,0,0,0,5,0,0,0
Alphasians-AINA,0,0,0,2,0,0,0
apisec-run-scan,0,0,0,4,0,0,0
article_foss4g2021,0,0,0,9,0,0,0
assert-command-line-output,28,12,3,1,2,10,1
aws-clis-action,0,0,1,1,0,4,1
aws-doc-sdk-examples,0,0,0,30,0,0,0
bot-area,0,0,1,3,1,0,0
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,263,126,4,1,3,18,2
cloud-formulas,0,0,0,2,0,1,0
command-output-file-action,1,1,1,1,0,0,1
convert-json-to-env,12,7,1,1,0,0,1
copy-push-files,3,3,2,1,3,1,1
create-other-repo-branch-action,28,11,2,2,1,3,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,26,3,0,1,16,59,8
dezafio-java,0,0,0,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,1,0,0,3
diff-action,6,2,1,1,0,2,1
djangowallet,0,0,0,2,0,0,0
docker-mysql-python,81,6,10,1,0,0,1
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,0,10,0,0,0
formulas-4-tests,2,1,0,2,0,1,1
formulas-aws,13,9,3,2,5,13,3
formulas-games,60,13,2,1,1,10,2
formulas-github,198,29,4,5,6,33,2
formulas-gRPC,0,0,0,1,0,3,1
formulas-insights,2,2,1,1,0,6,1
formulas-office-hours,0,0,0,1,0,1,1
